Name,HOCO,LUCO,Indirect Gap,EA/eV,Conductivity (20%),Log(20%),Conductivity (Max),Log(Max),SMILES
PNDI2TEG-2T,-4.88,-4,0.88,2.37,4.00E-05,-4.397940009,0.0007,-3.15490196,CCOCCN1C(=O)c2ccc3c4c(c(-c5cc(OC)c(-c6sccc6OC)s5)cc(c24)C1=O)C(=O)N(CCOCC)C3=O
PNDI2TEG-2Tz,-5.19,-4.15,1.04,2.52,1.8,0.255272505,1.8,0.255272505,CCOCCN1C(=O)c2ccc3c4c(c(-c5nc(OC)c(-c6scnc6OC)s5)cc(c24)C1=O)C(=O)N(CCOCC)C3=O
PNDI2TEG-T2DEG,-4.84,-3.98,0.86,2.38,0.03,-1.522878745,0.05,-1.301029996,CCOCCN1C(=O)c2ccc3c4c(c(-c5cc(OCCOC)c(-c6sccc6OCCOC)s5)cc(c24)C1=O)C(=O)N(CCOCC)C3=O
PNDIBS,-5.47,-4.14,1.33,2.46,0.00085,-3.070581074,0.00085,-3.070581074,CN1C(=O)c2ccc3c4c(c(-c5ccc(-c6ccc[se]6)[se]5)cc(c24)C1=O)C(=O)N(C)C3=O
PNDTI-BBT-DP,-5.41,-4.87,0.53,3.11,0.95,-0.022276395,5,0.698970004,CN1C(=O)c2c3ccsc3c3c4c(c5cc(-c6c7c(cc8nsnc68)[N]S[N]7)sc5c(c24)C1=O)C(=O)N(C)C3=O
TBDOPV-2T,-4.97,-4.13,0.84,2.66,0.035,-1.455931956,1.8,0.255272505,CN1C(=O)/C(=C2\[C]3C=C4OC(=O)/C(=C5/C(=O)N(C)c6cc(-c7ccc(-c8cccs8)s7)sc65)[C]4C=C3OC2=O)c2sccc21
TBDOPV-T,-5.12,-4.19,0.93,2.6,22,1.342422681,59,1.770852012,CN1C(=O)/C(=C2\[C]3C=C4OC(=O)/C(=C5/C(=O)N(C)c6cc(-c7cccs7)sc65)[C]4C=C3OC2=O)c2sccc21
TBDPPV,-5.01,-4.43,0.58,2.59,80,1.903089987,85,1.929418926,C=Cc1cc2c(s1)/C(=C1/[C]3C=C4OC(=O)/C(=C5/C(=O)N(C)c6ccsc65)[C]4C=C3OC1=O)C(=O)N2C
TEG-N2200,-5.49,-4.15,1.34,2.5,0.015,-1.823908741,0.17,-0.769551079,CCOCCN1C(=O)c2ccc3c4c(c(-c5ccc(-c6cccs6)s5)cc(c24)C1=O)C(=O)N(CCOCC)C3=O
UFBDPPV,-5.7,-4.52,1.18,2.92,2.5,0.397940009,16,1.204119983,C=C[C]1C=C[C]2C(=C1F)N(CCOCCOC)C(=O)/C2=C1\[C]2C=C3OC(=O)/C(=C4/C(=O)N(C)c5c(F)cccc54)[C]3C=C2OC1=O
